、,15,15,1957,､,、,*,*,、,*,*
ァ,17,17,2795,ｧ,ァ,a,a,ァ,a,a
ア,27,27,2533,ｰ,ー,*,*,ー,*,*
ア,32,32,2850,ｱ,ア,a,a,ア,a,a
ア,33,33,3512,ｱﾝ,ア,a,a,ン,n,n
ア,34,34,3585,ｱﾞ,ア,a,a,゙,*,*
ア,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
アクニンヲ,178,178,1623,ﾙﾝｹﾞ,ル,r,u,ゲ,g,e
アン,32,32,2850,ｱ,ア,a,a,ア,a,a
アー,33,33,3512,ｱﾝ,ア,a,a,ン,n,n
ィ,35,35,1601,ｲ,イ,a,i,イ,a,i
イ,6,6,2680,イ,イ,a,i,イ,a,i
イ,19,19,2559,ｨ,ィ,a,i,ィ,a,i
イ,35,35,1601,ｲ,イ,a,i,イ,a,i
イ,36,36,2584,ｲｪ,イ,a,i,ェ,a,e
イ,38,38,2626,ｳ,ウ,a,u,ウ,a,u
イ,174,174,2978,ﾘ,リ,r,i,リ,r,i
イ,177,177,2592,ﾙ,ル,r,u,ル,r,u
イ,179,179,1879,ﾚ,レ,r,e,レ,r,e
イ,183,183,1949,ﾝ,ン,n,n,ン,n,n
イッ,35,35,1601,ｲ,イ,a,i,イ,a,i
ゥ,20,20,2849,ｩ,ゥ,a,u,ゥ,a,u
ゥ,38,38,2626,ｳ,ウ,a,u,ウ,a,u
ウ,20,20,2849,ｩ,ゥ,a,u,ゥ,a,u
ウ,22,22,3336,ｫ,ォ,a,o,ォ,a,o
ウ,27,27,2533,ｰ,ー,*,*,ー,*,*
ウ,38,38,2626,ｳ,ウ,a,u,ウ,a,u
ウ,156,156,3199,ﾍﾟ,ペ,p,e,ペ,p,e
ウ,174,174,2978,ﾘ,リ,r,i,リ,r,i
ウ,177,177,2592,ﾙ,ル,r,u,ル,r,u
ウ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
ウイ,28,28,1488,ｰｯ,ー,*,*,ッ,*,*
ェ,45,45,2088,ｴ,エ,a,e,エ,a,e
エ,20,20,2849,ｩ,ゥ,a,u,ゥ,a,u
エ,35,35,1601,ｲ,イ,a,i,イ,a,i
エ,37,37,1571,ｲｯ,イ,a,i,ッ,*,*
エ,45,45,2088,ｴ,エ,a,e,エ,a,e
エ,183,183,1949,ﾝ,ン,n,n,ン,n,n
ォ,21,21,3187,ｪ,ェ,a,e,ェ,a,e
ォ,46,46,1833,ｵ,オ,a,o,オ,a,o
オ,27,27,2533,ｰ,ー,*,*,ー,*,*
オ,46,46,1833,ｵ,オ,a,o,オ,a,o
オ,150,150,2752,ﾌ,フ,h,u,フ,h,u
オ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
オオ,46,46,1833,ｵ,オ,a,o,オ,a,o
